,url_link,title,hot,date
76,https://www.ptt.cc/bbs/KoreaDrama/M.1620999172.A.166.html,[LIVE] Imitation EP2,爆,05/14
77,https://www.ptt.cc/bbs/KoreaDrama/M.1621080559.A.B67.html,[LIVE] SBS 模範計程車 EP12,爆,05/15
78,https://www.ptt.cc/bbs/KoreaDrama/M.1620823058.A.C67.html,[LIVE] Mouse EP18,爆,05/12
79,https://www.ptt.cc/bbs/KoreaDrama/M.1620840666.A.08A.html,[閒聊] 怪物劇本書開箱分享(特別加映追加補充),爆,05/13
80,https://www.ptt.cc/bbs/KoreaDrama/M.1620899678.A.E69.html,[LIVE] 第57屆百想藝術大賞 紅毯、頒獎典禮(一部),爆,05/13
81,https://www.ptt.cc/bbs/KoreaDrama/M.1620905746.A.F40.html,[LIVE] 大發不動產 EP10,爆,05/13
82,https://www.ptt.cc/bbs/KoreaDrama/M.1620909128.A.994.html,[LIVE] Mouse EP19,爆,05/13
83,https://www.ptt.cc/bbs/KoreaDrama/M.1620914895.A.2A0.html,[LIVE] 第57屆百想藝術大賞 頒獎典禮 二部,爆,05/13
84,https://www.ptt.cc/bbs/KoreaDrama/M.1620920257.A.7B0.html,[情報] 第57屆百想藝術大賞 得獎名單,爆,05/13
85,https://www.ptt.cc/bbs/KoreaDrama/M.1620644467.A.01D.html,[LIVE] tvN《某一天滅亡來到我家門前》 首播,爆,05/10
86,https://www.ptt.cc/bbs/KoreaDrama/M.1620731120.A.874.html,[LIVE] tvN《某一天滅亡來到我家門前》EP2,爆,05/11
87,https://www.ptt.cc/bbs/KoreaDrama/M.1620394222.A.F52.html,[LIVE] Imitation EP1,爆,05/07
88,https://www.ptt.cc/bbs/KoreaDrama/M.1620476047.A.4E9.html,[LIVE] SBS 模範計程車 EP10,爆,05/08
89,https://www.ptt.cc/bbs/KoreaDrama/M.1620300901.A.C03.html,[LIVE] JTBC Law School EP8,爆,05/06
90,https://www.ptt.cc/bbs/KoreaDrama/M.1620301041.A.16D.html,[LIVE] 大發不動產 EP8,爆,05/06
91,https://www.ptt.cc/bbs/KoreaDrama/M.1620310166.A.FD5.html,[LIVE] Mouse EP17,爆,05/06
92,https://www.ptt.cc/bbs/KoreaDrama/M.1620390607.A.77B.html,[LIVE] SBS 模範計程車 EP9,爆,05/07
93,https://www.ptt.cc/bbs/KoreaDrama/M.1620113102.A.0D4.html,[心得] 文森佐：可惜了，玉澤演,爆,05/04
94,https://www.ptt.cc/bbs/KoreaDrama/M.1620218369.A.C4F.html,[LIVE] Mouse EP16,爆,05/05
95,https://www.ptt.cc/bbs/KoreaDrama/M.1619949434.A.BAA.html,[問題] 黑道律師文森佐值得追嗎？,爆,05/02
96,https://www.ptt.cc/bbs/KoreaDrama/M.1619955818.A.E66.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP20最終回,爆,05/02
97,https://www.ptt.cc/bbs/KoreaDrama/M.1620059605.A.EF6.html,[新聞] 文森佐-宋仲基終演相關採訪(新增),爆,05/04
98,https://www.ptt.cc/bbs/KoreaDrama/M.1619869391.A.3D6.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP19,爆,05/01
99,https://www.ptt.cc/bbs/KoreaDrama/M.1619871159.A.851.html,[LIVE] SBS 模範計程車 EP8,爆,05/01
100,https://www.ptt.cc/bbs/KoreaDrama/M.1619595523.A.13C.html,[LIVE] Mouse 特輯Part.1/Part.2,爆,04/28
101,https://www.ptt.cc/bbs/KoreaDrama/M.1619694991.A.0A3.html,[LIVE] JTBC Law School EP6,爆,04/29
102,https://www.ptt.cc/bbs/KoreaDrama/M.1619696305.A.418.html,[LIVE] 大發不動產 EP6,爆,04/29
103,https://www.ptt.cc/bbs/KoreaDrama/M.1619457101.A.880.html,[心得] 黑道律師文森佐之漢書觀察誌 (雷),爆,04/27
104,https://www.ptt.cc/bbs/KoreaDrama/M.1619523649.A.090.html,[LIVE] Navillera/如蝶翩翩 EP12 最終回,爆,04/27
105,https://www.ptt.cc/bbs/KoreaDrama/M.1619350294.A.4D6.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP18,爆,04/25
106,https://www.ptt.cc/bbs/KoreaDrama/M.1619398377.A.DF9.html,[新聞] 《黑道律師文森佐》最高收視15.6%,爆,04/26
107,https://www.ptt.cc/bbs/KoreaDrama/M.1619095011.A.122.html,[LIVE] Mouse EP15,爆,04/22
108,https://www.ptt.cc/bbs/KoreaDrama/M.1619180956.A.B45.html,[LIVE] SBS 模範計程車 EP5,爆,04/23
109,https://www.ptt.cc/bbs/KoreaDrama/M.1619264077.A.995.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP17,爆,04/24
110,https://www.ptt.cc/bbs/KoreaDrama/M.1619266498.A.19F.html,[LIVE] SBS 模範計程車 EP6,爆,04/24
111,https://www.ptt.cc/bbs/KoreaDrama/M.1619279566.A.67D.html,[求薦] 有糖撒有劇情主軸配角討喜的韓劇,爆,04/24
112,https://www.ptt.cc/bbs/KoreaDrama/M.1619008468.A.772.html,[LIVE] Mouse EP14,爆,04/21
113,https://www.ptt.cc/bbs/KoreaDrama/M.1619091418.A.268.html,[LIVE] 大發不動產 EP4,爆,04/22
